--------------------------------------------------------------------
-> sample22-virt-anti-branch-analysis-branchFuns
	Instructions executed: 114419
	Unique Instructions executed: 2010
	Functions simulated: 22
	Time of analysis: 9.652536 seconds
	Command being timed: "./solve-vm.py build/virtualization/anti-branch-analysis/branchFuns/sample22-virt-anti-branch-analysis-branchFuns"
	User time (seconds): 10.15
	System time (seconds): 0.05
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:10.23
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 129940
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 59106
	Voluntary context switches: 62
	Involuntary context switches: 90
	Swaps: 0
	File system inputs: 0
	File system outputs: 136
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
--------------------------------------------------------------------
-> sample22-virt-max-merge-lenght-10
	Instructions executed: 11722
	Unique Instructions executed: 2701
	Functions simulated: 8
	Time of analysis: 1.238337 seconds
	Command being timed: "./solve-vm.py build/virtualization/max-merge-length/10/sample22-virt-max-merge-lenght-10"
	User time (seconds): 1.72
	System time (seconds): 0.08
	Percent of CPU this job got: 98%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:01.82
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 116452
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 48188
	Voluntary context switches: 41
	Involuntary context switches: 47
	Swaps: 0
	File system inputs: 0
	File system outputs: 120
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
--------------------------------------------------------------------
-> sample22-virt-max-merge-lenght-20
	Instructions executed: 10348
	Unique Instructions executed: 3631
	Functions simulated: 8
	Time of analysis: 1.197477 seconds
	Command being timed: "./solve-vm.py build/virtualization/max-merge-length/20/sample22-virt-max-merge-lenght-20"
	User time (seconds): 1.72
	System time (seconds): 0.04
	Percent of CPU this job got: 98%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:01.79
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 116568
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 48144
	Voluntary context switches: 60
	Involuntary context switches: 40
	Swaps: 0
	File system inputs: 0
	File system outputs: 120
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
--------------------------------------------------------------------
-> sample22-virt-max-merge-lenght-0
	Instructions executed: 26730
	Unique Instructions executed: 1025
	Functions simulated: 8
	Time of analysis: 2.364946 seconds
	Command being timed: "./solve-vm.py build/virtualization/max-merge-length/0/sample22-virt-max-merge-lenght-0"
	User time (seconds): 2.85
	System time (seconds): 0.10
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:02.97
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 118052
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 48729
	Voluntary context switches: 62
	Involuntary context switches: 47
	Swaps: 0
	File system inputs: 0
	File system outputs: 128
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
--------------------------------------------------------------------
-> sample22-virt-max-merge-lenght-30
	Instructions executed: 9876
	Unique Instructions executed: 3601
	Functions simulated: 8
	Time of analysis: 1.142643 seconds
	Command being timed: "./solve-vm.py build/virtualization/max-merge-length/30/sample22-virt-max-merge-lenght-30"
	User time (seconds): 1.66
	System time (seconds): 0.05
	Percent of CPU this job got: 98%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:01.73
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 116824
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 48037
	Voluntary context switches: 62
	Involuntary context switches: 38
	Swaps: 0
	File system inputs: 0
	File system outputs: 120
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
--------------------------------------------------------------------
-> sample22-virt-bogus-functions-1
	Instructions executed: 80534
	Unique Instructions executed: 1831
	Functions simulated: 20
	Time of analysis: 6.358443 seconds
	Command being timed: "./solve-vm.py build/virtualization/bogus-functions/1/sample22-virt-bogus-functions-1"
	User time (seconds): 6.88
	System time (seconds): 0.07
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:06.97
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 141364
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 65080
	Voluntary context switches: 61
	Involuntary context switches: 139
	Swaps: 0
	File system inputs: 0
	File system outputs: 128
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
--------------------------------------------------------------------
-> sample22-virt-bogus-functions-2
	Instructions executed: 131998
	Unique Instructions executed: 1963
	Functions simulated: 52
	Time of analysis: 10.458801 seconds
	Command being timed: "./solve-vm.py build/virtualization/bogus-functions/2/sample22-virt-bogus-functions-2"
	User time (seconds): 10.94
	System time (seconds): 0.12
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:11.12
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 151052
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 67806
	Voluntary context switches: 62
	Involuntary context switches: 2516
	Swaps: 0
	File system inputs: 0
	File system outputs: 128
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
--------------------------------------------------------------------
-> sample22-virt-bogus-functions-0
	Instructions executed: 26730
	Unique Instructions executed: 1025
	Functions simulated: 8
	Time of analysis: 2.462396 seconds
	Command being timed: "./solve-vm.py build/virtualization/bogus-functions/0/sample22-virt-bogus-functions-0"
	User time (seconds): 2.96
	System time (seconds): 0.08
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:03.07
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 117324
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 50266
